Delimiter	Agent userID	Agent name	Agent e-mail address	Agent phone number	Record Count	Current Production Month																																							
tab	bhaktamplp	mishaun bhakta	mishaun@magnumproducing.com	3618260116	189	n																																							
Report Type	Record Unique	Operator Number	District	Lease Type	Oil Lease Number/Gas ID	Drilling Permit Number	API Number	Corrected Report	Lease Total Line	Commingle Permit Number	Commingle Permit One-time Use Remark	Cycle Date	Gas Formation  Production	Gas Disp Code 1 - Lse Fld Fuel System	Gas Disp Code 2 - Transmission Line	Gas Disp Code 3 - Processing Plant	Gas Disp Code 4 - Vented or Flared	Gas Disp Code 4 - Vented Flared  Remark	Gas Disp Code 5 - Gas Lift	Gas Disp Code 6 - Pressure Maint	Gas Disp Code 7 - Carbon Black	Gas Disp Code 7 - Carbon Black Plant Name	Gas Disp Code 8 - Underground Storage	Liq Production	Liq Disp Code 0 - Pipeline	Liq Disp Code 1 - Truck	Liq Disp Code 2 - Tank Car or Barge	Liq Disp Code 3 - Net Tank Cleaning	Liq Disp Code 3 - Net Tank Cleaning Remark	Liq Disp Code 4 - Circulating	Liq Disp Code 4 - Circulating Remark	Liq Disp Code 5 - Lost	Liq Disp Code 6 - Sedimentation	Liq Disp Code 6 - Sedimentation Remark	Liq Disp Code 71 - Operator Change	Liq Disp Code 72 - Road Oil	Liq Disp Code 73 - Lease Use	Liq Disp Code 74 - Lost to Formation	Liq Disp Code 75 - Other	Liq Disp Code 75 - Other Remarks	Liq Disp Code 8 - Skim Liquid	Liq Ending  Storage	Field Name	Lease Name	Gas Well Number
pr	120	521516	03	o	11349			n	n			202002	116	116	0									1190		1169																225			
pr	121	521516	03	o	27162			n	n			202002	0	0	0									0		0																0			
pr	122	521516	03	g	280832			n	n			202002	7	0	7									5		0																53			
pr	123	521516	03	g	161374			n	n			202002	841	87	754									1		0																235			
pr	124	521516	03	o	19798			n	n			202002	0	0	0									0		0																70			
pr	125	521516	03	o	25782			n	n			202002	174	0	174									25		0																224			
pr	126	521516	03	o	25785			n	n			202002	0	0	0									0		0																0			
pr	127	521516	03	g	179674			n	n			202002	0	0	0									0		0																0			
pr	128	521516	03	g	129832			n	n			202002	0	0	0									0		0																0			
pr	129	521516	03	o	24644			n	n			202002	0	0	0									290		334																171			
pr	130	521516	03	g	127418			n	n			202002	0	0	0									0		0																0			
pr	131	521516	03	g	128149			n	n			202002	0	0	0									0		0																0			
pr	132	521516	03	o	24414			n	n			202002	0	0	0									0		0																0			
pr	133	521516	03	g	201104			n	n			202002	0	0	0									0		0																0			
pr	134	521516	03	o	22499			n	n			202002	0	0	0									0		0																0			
pr	135	521516	03	g	200844			n	n			202002	0	0	0									0		0																135			
pr	136	521516	03	g	283360			n	n			202002	0	0	0									0		0																134			
pr	137	521516	04	g	225615			n	n			202002	0	0	0									0		0																0			
pr	138	521516	04	o	13355			n	n			202002	244	0	244									50		0																161			
pr	139	521516	04	g	115364			n	n			202002	0	0	0									0		0																0			
pr	140	521516	04	o	13410			n	n			202002	0	0	0									0		0																235			
pr	141	521516	04	g	255120			n	n			202002	1458	290	1168									0		0																0			
pr	142	521516	04	g	039333			n	n			202002	0	0	0									0		0																0			
pr	143	521516	04	o	13726			n	n			202002	0	0	0									0		0																90			
pr	144	521516	04	g	167923			n	n			202002	0	0	0									0		0																0			
pr	145	521516	04	o	12863			n	n			202002	0	0	0									0		0																0			
pr	146	521516	04	g	244496			n	n			202002	11857	261	11596									0		0																162			
pr	147	521516	04	g	248176			n	n			202002	2613	58	2555									0		0																0			
pr	148	521516	04	g	250087			n	n			202002	7496	301	7195									0		0																24			
pr	149	521516	04	g	255119			n	n			202002	234	9	225									0		0																0			
pr	150	521516	04	o	12696			n	n			202002	0	0	0									0		0																47			
pr	151	521516	04	o	13742			n	n			202002	0	0	0									0		0																52			
pr	152	521516	04	g	054242			n	n			202002	0	0	0									0		0																0			
pr	153	521516	04	o	10325			n	n			202002	0	0	0									1		0																63			
pr	154	521516	04	o	10563			n	n			202002	0	0	0									0		0																69			
pr	155	521516	04	g	212342			n	n			202002	0	0	0									0		0																0			
pr	156	521516	04	g	213792			n	n			202002	0	0	0									0		0																43			
pr	157	521516	04	g	173434			n	n			202002	165	0	165									0		0																169			
pr	158	521516	04	g	252973			n	n			202002	0	0	0									0		0																93			
pr	159	521516	04	g	201238			n	n			202002	2827	0	2827									8		0																92			
pr	160	521516	04	g	242290			n	n			202002	0	0	0									0		0																0			
pr	161	521516	04	g	198253			n	n			202002	0	0	0									0		0																0			
pr	162	521516	04	g	159856			n	n			202002	0	0	0									0		0																0			
pr	163	521516	04	g	162080			n	n			202002	324	0	324									0		0																3			
pr	164	521516	04	g	011877			n	n			202002	224	0	224									0		0																0			
pr	165	521516	04	g	011885			n	n			202002	901	0	901									0		0																0			
pr	166	521516	04	g	191863			n	n			202002	0	0	0									0		0																0			
pr	167	521516	04	g	194224			n	n			202002	1993	66	1927									13		0																292			
pr	168	521516	04	g	127818			n	n			202002	0	0	0									0		0																166			
pr	169	521516	04	g	276012			n	n	5050		202002	3001	0	3001									0		0																36			
pr	170	521516	04	g	192315			n	n			202002	0	0	0									0		0																0			
pr	171	521516	04	g	140637			n	n			202002	0	0	0									0		0																92			
pr	172	521516	04	g	120373			n	n			202002	0	0	0									0		0																0			
pr	173	521516	04	o	14061			n	n			202002	0	0	0									238		185																177			
pr	174	521516	04	g	195786			n	n			202002	0	0	0									0		0																0			
pr	175	521516	04	g	226100			n	n			202002	29	29	0									0		0																0			
pr	176	521516	04	g	233961			n	n			202002	116	116	0									0		0																0			
pr	177	521516	04	g	142434			n	n			202002	0	0	0									0		0																49			
pr	178	521516	04	g	142269			n	n			202002	0	0	0									0		0																0			
pr	179	521516	04	o	12803			n	n			202002	0	0	0									0		0																0			
pr	180	521516	04	o	03212			n	n	6114		202002	88	88	0									102		0																127			
pr	181	521516	04	o	08717			n	n			202002	0	0	0									0		0																0			
pr	182	521516	04	g	190124			n	n			202002	0	0	0									0		0																0			
pr	183	521516	04	o	13668			n	n	6114		202002	0	0	0									0		0																0			
pr	184	521516	04	o	13664			n	n			202002	0	0	0									0		0																64			
pr	185	521516	04	g	066093			n	n	5050		202002	2301	100	2201									129		0																180			
pr	186	521516	04	o	12360			n	n			202002	0	0	0									0		0																63			
pr	187	521516	03	o	27617			n	n			202002	791	0	791									2253		2322																120	Big Hill	McLean Unit 4	4
pr	188	521516	03	o	27533			n	n			202002	174	174	0									310		181																208			
pr	189	521516	03	p		819991		n	n			202002	4597				4597	No sales pipeline - flare permit # is 38810						193		183																207	"LUCKY, WEST"	ANDERSON #3	3
