Delimiter	Agent userID	Agent name	Agent e-mail address	Agent phone number	Record Count	Current Production Month																																																																																																																																																																																																																																																			
pr	118	521516	03	g	201550			n	n	1988		201912	120	0	120									0		0																0																																																																																																																																																																																																															
pr	119	521516	03	g	210199			n	n			201912	644	30	614									0		0																63																																																																																																																																																																																																															
pr	120	521516	03	g	210200			n	n			201912	62	7	55									0		0																33																																																																																																																																																																																																															
pr	121	521516	03	g	215622			n	n			201912	0	0	0									0		0																98																																																																																																																																																																																																															
pr	122	521516	03	g	216963			n	n			201912	0	0	0									0		0																0																																																																																																																																																																																																															
pr	123	521516	03	g	217825			n	n			201912	3474	168	3306									0		0																0																																																																																																																																																																																																															
pr	124	521516	03	o	11349			n	n			201912	120	120	0									1155		1163																197																																																																																																																																																																																																															
pr	125	521516	03	o	27162			n	n			201912	0	0	0									0		0																0																																																																																																																																																																																																															
pr	126	521516	03	g	280832			n	n			201912	6	0	6									0		0																43																																																																																																																																																																																																															
pr	127	521516	03	g	161374			n	n			201912	1431	69	1362									0		0																233																																																																																																																																																																																																															
pr	128	521516	03	o	19798			n	n			201912	0	0	0									0		0																70																																																																																																																																																																																																															
pr	129	521516	03	o	25782			n	n			201912	156	0	156									0		0																174																																																																																																																																																																																																															
pr	130	521516	03	o	25785			n	n			201912	0	0	0									0		0																0																																																																																																																																																																																																															
pr	131	521516	03	g	179674			n	n			201912	0	0	0									0		0																0																																																																																																																																																																																																															
pr	132	521516	03	g	129832			n	n			201912	0	0	0									0		0																0																																																																																																																																																																																																															
pr	133	521516	03	o	24644			n	n			201912	2419	0	2419									479		327																291																																																																																																																																																																																																															
pr	134	521516	03	g	127418			n	n			201912	0	0	0									0		0																0																																																																																																																																																																																																															
pr	135	521516	03	g	128149			n	n			201912	0	0	0									0		0																0																																																																																																																																																																																																															
pr	136	521516	03	o	24414			n	n			201912	0	0	0									0		0																0																																																																																																																																																																																																															
pr	137	521516	03	g	201104			n	n			201912	0	0	0									0		0																0																																																																																																																																																																																																															
pr	138	521516	03	o	22499			n	n			201912	0	0	0									0		0																0																																																																																																																																																																																																															
pr	139	521516	03	g	200844			n	n			201912	0	0	0									0		0																135																																																																																																																																																																																																															
pr	140	521516	03	g	283360			n	n			201912	0	0	0									0		0																134																																																																																																																																																																																																															
pr	141	521516	04	g	225615			n	n			201912	0	0	0									0		0																0																																																																																																																																																																																																															
pr	142	521516	04	o	13355			n	n			201912	0	0	0									68		184																49																																																																																																																																																																																																															
pr	143	521516	04	g	115364			n	n			201912	0	0	0									0		0																0																																																																																																																																																																																																															
pr	144	521516	04	o	13410			n	n			201912	0	0	0									0		0																235																																																																																																																																																																																																															
pr	145	521516	04	g	255120			n	n			201912	1530	300	1230									0		0																0																																																																																																																																																																																																															
pr	146	521516	04	g	039333			n	n			201912	0	0	0									0		0																0																																																																																																																																																																																																															
pr	147	521516	04	o	13726			n	n			201912	0	0	0									0		0																90																																																																																																																																																																																																															
pr	148	521516	04	g	167923			n	n			201912	0	0	0									0		0																0																																																																																																																																																																																																															
pr	149	521516	04	o	12863			n	n			201912	0	0	0									0		0																0																																																																																																																																																																																																															
pr	150	521516	04	g	244496			n	n			201912	2296	136	2160									0		0																162																																																																																																																																																																																																															
pr	151	521516	04	g	248176			n	n			201912	2155	128	2027									0		0																0																																																																																																																																																																																																															
pr	152	521516	04	g	250087			n	n			201912	8177	320	7857									0		0																24																																																																																																																																																																																																															
pr	153	521516	04	g	255119			n	n			201912	203	8	195									0		0																0																																																																																																																																																																																																															
pr	154	521516	04	o	12696			n	n			201912	0	0	0									0		0																47																																																																																																																																																																																																															
pr	155	521516	04	o	13742			n	n			201912	0	0	0									0		0																52																																																																																																																																																																																																															
pr	156	521516	04	g	054242			n	n			201912	0	0	0									0		0																0																																																																																																																																																																																																															
pr	157	521516	04	o	10325			n	n			201912	0	0	0									1		0																60																																																																																																																																																																																																															
pr	158	521516	04	o	10563			n	n			201912	0	0	0									0		0																69																																																																																																																																																																																																															
pr	159	521516	04	g	212342			n	n			201912	3189	124	3065									0		0																0																																																																																																																																																																																																															
pr	160	521516	04	g	213792			n	n			201912	0	0	0									0		0																43																																																																																																																																																																																																															
pr	161	521516	04	g	173434			n	n			201912	253	0	253									0		0																169																																																																																																																																																																																																															
pr	162	521516	04	g	252973			n	n			201912	0	0	0									0		0																93																																																																																																																																																																																																															
pr	163	521516	04	g	201238			n	n			201912	634	0	634									10		0																77																																																																																																																																																																																																															
pr	164	521516	04	g	242290			n	n			201912	0	0	0									0		0																0																																																																																																																																																																																																															
pr	165	521516	04	g	198253			n	n			201912	0	0	0									0		0																0																																																																																																																																																																																																															
pr	166	521516	04	g	159856			n	n			201912	0	0	0									0		0																0																																																																																																																																																																																																															
pr	167	521516	04	g	162080			n	n			201912	725	0	725									0		0																3																																																																																																																																																																																																															
pr	168	521516	04	g	011877			n	n			201912	383	0	383									0		0																0																																																																																																																																																																																																															
pr	169	521516	04	g	011885			n	n			201912	1619	0	1619									0		0																0																																																																																																																																																																																																															
pr	170	521516	04	g	191863			n	n			201912	0	0	0									0		0																0																																																																																																																																																																																																															
pr	171	521516	04	g	194224			n	n			201912	1852	57	1795									0		0																268																																																																																																																																																																																																															
pr	172	521516	04	g	127818			n	n			201912	0	0	0									0		0																166																																																																																																																																																																																																															
pr	173	521516	04	g	276012			n	n	5050		201912	3378	0	3378									81		142																1																																																																																																																																																																																																															
pr	174	521516	04	g	192315			n	n			201912	0	0	0									0		0																0																																																																																																																																																																																																															
pr	175	521516	04	g	140637			n	n			201912	0	0	0									0		0																92																																																																																																																																																																																																															
pr	176	521516	04	g	120373			n	n			201912	0	0	0									0		0																0																																																																																																																																																																																																															
pr	177	521516	04	o	14061			n	n			201912	0	0	0									69		0																239																																																																																																																																																																																																															
pr	178	521516	04	g	195786			n	n			201912	0	0	0									0		0																0																																																																																																																																																																																																															
pr	179	521516	04	g	226100			n	n			201912	1147	31	1116									0		0																0																																																																																																																																																																																																															
pr	180	521516	04	g	233961			n	n			201912	3189	124	3065									0		0																0																																																																																																																																																																																																															
pr	181	521516	04	g	142434			n	n			201912	0	0	0									0		0																49																																																																																																																																																																																																															
pr	182	521516	04	g	142269			n	n			201912	0	0	0									0		0																0																																																																																																																																																																																																															
pr	183	521516	04	o	12803			n	n			201912	0	0	0									0		0																0																																																																																																																																																																																																															
pr	184	521516	04	o	03212			n	n	6114		201912	0	0	0									0		166																11																																																																																																																																																																																																															
pr	185	521516	04	o	08717			n	n			201912	0	0	0									0		0																0																																																																																																																																																																																																															
pr	186	521516	04	g	190124			n	n			201912	0	0	0									0		0																0																																																																																																																																																																																																															
pr	187	521516	04	o	13668			n	n	6114		201912	0	0	0									0		0																0																																																																																																																																																																																																															
pr	188	521516	04	o	13664			n	n			201912	0	0	0									0		0																64																																																																																																																																																																																																															
pr	189	521516	04	g	066093			n	n	5050		201912	975	80	895									0		33																31																																																																																																																																																																																																															
pr	190	521516	04	o	12360			n	n			201912	0	0	0									0		0																63																																																																																																																																																																																																															
pr	191	521516	03	p		834804		n	n			201912	974	0	974									2082		1960																309	Big Hill	McLean Unit 4	4																																																																																																																																																																																																												
pr	192	521516	03	o	27533			n	n			201912	0	0	0									0		0																79																																																																																																																																																																																																															
